wyscout_name,search_name,fm_name,fm_id,fm_team,match_score,face_url,wyscout_teams
B. Tomatis,Bautista Euclides Tomatis,Bautista Tomatis,2000105650,Racing Club de Montevideo,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000105650.png,Atlético Rafaela U20|Racing Club de Montevideo
B. Urueña,Bryan Eduardo Urueña Díaz,Bryan Urueña,76014919,Talento Dorado S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76014919.png,Club Llaneros SA|Águilas Doradas
B. Veglio,Bruno Enrico Veglio Araújo,Bruno Veglio,78095205,,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78095205.png,Montevideo Wanderers Fútbol Club
B. Viñán,Bryan Elián Viñán Rodríguez,Bryan Viñán,86067143,Orense Sporting Club,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86067143.png,Orense|Orense SC
Barreto,Gustavo Bonatto Barreto,Gustavo Barreto,19216900,Kyoto Sanga F.C.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_19216900.png,Sukhothai|Avaí Futebol Clube|Kyoto Sanga
Benjamín Kuščević Jaramillo,Benjamín Kuščević Jaramillo,Benjamín Kuscevic,75032824,Toronto FC,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75032824.png,Fortaleza EC
Brandon William Cortés Bustos,Brandon William Cortés Bustos,Brandon Cortés,14204486,Club Atlético Patronato de la Juventud Católica,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14204486.png,CA Nueva Chicago
Brian Alexis Leizza,Brian Alexis Leizza,Brian Leizza,14227174,Club Atlético Los Andes,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14227174.png,CA Los Andes
Brian Emanuel Gómez,Brian Emanuel Gómez,Brian Gómez,14037060,Club Atlético Defensores de Belgrano,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14037060.png,CA Defensores de Belgrano
Brian Leonel Blando,Brian Leonel Blando,Brian Blando,14155178,Club Agropecuario Argentino de Carlos Casares,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14155178.png,Club Argentino Agropecuario de Carlos Casares
Brian Luis Mieres,Brian Luis Mieres,Brian Mieres,14043366,Club Atlético Mitre de Santiago del Estero,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14043366.png,Club Atlético Mitre de Santiago del Estero
Brian Nicolás Ferreyra,Brian Nicolás Ferreyra,Nicolás Ferreyra,14239729,Club Atlético Gimnasia y Esgrima de Mendoza,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14239729.png,Atlético Gimnasia y Esgrima de Mendoza
Brian Rolando Blasi,Brian Rolando Blasi,Brian Blasi,14164382,Club Rubio Ñu,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14164382.png,Club Atlético Alvarado Mar del Plata
Bruno Ignacio Nasta,Bruno Ignacio Nasta,Bruno Nasta,14043598,Club Atlético San Miguel,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14043598.png,CA San Miguel
Bruno de Jesus Pacheco,Bruno de Jesus Pacheco,Bruno Pacheco,19235900,Associação Chapecoense de Futebol,95,https://sortitoutsi.b-cdn.net/uploads/face/face_19235900.png,Fortaleza EC
Bryan,Bryan Borges Mascarenhas,Bryan Borges,19274672,Associação Atlética Ponte Preta,95,https://sortitoutsi.b-cdn.net/uploads/face/face_19274672.png,Ponte Preta|Paysandu SC
Bryan David Castrillón Gómez,Bryan David Castrillón Gómez,Bryan Castrillón,76058837,Club Deportivo Popular Junior F.C. S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76058837.png,Club Deportivo Junior FC
C. Alemán,Christian Fernando Alemán Alegría,Christian Alemán,86034352,Club Bolívar,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86034352.png,Bolívar|Manta FC
C. Almeida,Christian Andrés Almeida Rodríguez,Christian Almeida,78045574,Deportivo Luis Suárez Messi,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78045574.png,Club Atlético River Plate (URU)|River Plate
C. Aquino,Claudio Ezequiel Aquino,Claudio Aquino,14022575,Colo Colo,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14022575.png,CSD Colo Colo|Colo Colo
C. Arboleda,Carlos Alexi Arboleda Ruiz,Carlos Arboleda,86032745,Club Deportivo Cuenca,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86032745.png,Club Atlético Libertad|Deportivo Cuenca
C. Arrieta,Cristian Camilo Arrieta Medina,Cristian Arrieta,76023033,Club Deportes Tolima S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76023033.png,Deportes Tolima|Tolima
C. Aránguiz,Charles Mariano Aránguiz Sandoval,Charles Aránguiz,75001932,Universidad de Chile,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75001932.png,Corporación de Fútbol de la Universidad de Chile|Universidad de Chile
C. Auzqui,Carlos Daniel Auzqui,Carlos Auzqui,14026623,Club Agropecuario Argentino de Carlos Casares,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14026623.png,Atlético Tucumán|CA Tucuman
C. Baeza,Claudio Andrés Baeza Baeza,Claudio Baeza,75029821,Club Atlético Vélez Sarsfield,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75029821.png,Vélez Sarsfield|Club Atlético Vélez Sarsfield
C. Barrera,Cristopher Jesús Barrera Vergara,Cristopher Barrera,75049262,Everton de Viña del Mar,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75049262.png,Club de Deportes Cobresal|Cobresal
C. Barrios,Cristian Darío Barrios Puerta,Cristian Barrios,76048244,Club Deportivo Popular Junior F.C. S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76048244.png,América de Cali|Junior
C. Barros,Cristián Barros Mirabal,Cristian Barros,78096560,Club Atlético Cerro,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78096560.png,Plaza Colonia
C. Blanco,C. Blanco,Carlos Blanco,43201823,U.E. Sant Andreu,95,https://sortitoutsi.b-cdn.net/uploads/face/face_43201823.png,Águilas Doradas
C. Cortes,Carlos Manuel Cortes Barreiro,Carlos Barreiro,2000006259,Club Llaneros S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000006259.png,Club Llaneros SA|Llaneros
C. Cuero,Carlos Andrés Cuero Quiñónez,Carlos Cuero,86053692,Sociedad Deportiva Aucas,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86053692.png,Aucas|Delfín SC
C. Cuesta,Carlos Eccehomo Cuesta Figueroa,Carlos Cuesta,76047487,Club de Regatas Vasco da Gama SAF,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76047487.png,CR Vasco da Gama|Galatasaray
C. Cuevas,Cristian Alejandro Cuevas Jara,Cristián Cuevas,75018933,Universidad Católica,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75018933.png,Universidad Católica|CD Universidad Católica
C. Cándido,Camilo Damián Cándido Aquino,Camilo Cándido,78076552,Club Nacional de Football,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78076552.png,Cruz Azul Hidalgo|Club Atlético Nacional
C. De Las Salas,Carlos Yesith De Las Salas Simanca,Carlos De Las Salas,76051255,Club Atlético Bucaramanga S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76051255.png,Atlético Bucaramanga|CA Bucaramanga
C. Diaz,Cristopher Felipe Diaz Peña,Christopher Díaz,75033278,Unión La Calera,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75033278.png,Unión La Calera|CD Unión La Calera
C. Esparragoza,Carlos Andrés Esparragoza Pérez,Carlos Esparragoza,76047055,Alianza Fútbol Club S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76047055.png,Club Deportivo Junior FC|Alianza
C. Fuentes,César Nicolás Fuentes González,César Fuentes,75015857,Club de Deportes Limache,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75015857.png,Deportes Limache|Club Deportes Iquique
C. González,César Alejandro González Ramírez,César González,75037640,Deportes Iquique,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75037640.png,Deportes Iquique|Cerro Largo|Newell's Old Boys|Club Deportes Iquique
C. Gruezo,Carlos Armando Gruezo Arboleda,Carlos Gruezo,86029647,Club Santos Laguna,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86029647.png,Libertad|Liga Deportiva Universitaria de Quito|Santos Laguna
C. Gutiérrez,Cristián Daniel Gutiérrez Zúñiga,Cristián Gutiérrez,75037988,Unión La Calera,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75037988.png,La Serena|CD La Serena
C. Henao,Carlos Alberto Henao Sánchez,Carlos Henao,76014298,Jaguares Fútbol Club S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76014298.png,Jaguares de Córdoba|CA Bucaramanga
C. Insaurralde,Cristian Manuel Insaurralde,Cristian Insaurralde,14031126,Cobreloa,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14031126.png,Unión Española|CD Unión La Calera
C. Izquierdoz,Carlos Roberto Izquierdoz,Carlos Izquierdoz,14022585,Club Atlético Lanús,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14022585.png,CA Lanús|Lanús
C. Labrín,Carlos Alfredo Labrín Candia,Carlos Labrín,75003180,Rangers de Talca,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75003180.png,Ñublense|Nublense
C. Larotonda,Christian Adán Larotonda Adán,Christian Larotonda,86056118,Caracas Fútbol Club,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86056118.png,Caracas|Vinotinto de Ecuador FC
C. Lucumí,Carlos Alberto Lucumí González,Carlos Lucumí,2000050878,Alianza Fútbol Club S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000050878.png,CD Alianza Petrolera|Alianza
C. Martínez,Cris Robert Martínez Escobar,Cris Martínez,79011873,Huachipato,95,https://sortitoutsi.b-cdn.net/uploads/face/face_79011873.png,Club Deportivo Huachipato|Huachipato
C. Mayada,Camilo Sebastián Mayada Mesa,Camilo Mayada,78036903,Danubio Fútbol Club,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78036903.png,Danubio Fútbol Club|Danubio
C. Medina,Carlos Alejandro Medina Castillo,Carlos Medina,2000064235,Club Deportivo Universidad Católica del Ecuador,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000064235.png,CD Universidad Católica del Ecuador|Universidad Católica|Estudiantes
C. Montaño,Jean Carlos Montaño Valencia,Jean Carlos Montaño,86065935,Barcelona Sporting Club,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86065935.png,Club Atlético Libertad|Barcelona SC
C. Moreno,Christian Damián Moreno,Christian Moreno,14094574,Cobresal,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14094574.png,Club de Deportes Cobresal|Cobresal
C. Mosquera,Cristián Camilo Mosquera Rivas,Cristián Mosquera,76063124,Bogotá Fútbol Club S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76063124.png,Fortaleza CEIF FC
C. Moya,Camilo Andrés Moya Carreño,Camilo Moya,75039734,Unión La Calera,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75039734.png,Unión La Calera|CD Unión La Calera
C. Muñoz,Cristóbal Felipe Muñoz Vásquez,Cristóbal Muñoz,75051082,Audax Italiano,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75051082.png,Audax Club Sportivo Italiano|Audax Italiano
C. Oliva,Christian Gabriel Oliva Giménez,Christian Oliva,78091915,Santos Futebol Clube,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78091915.png,Club Nacional de Football|Nacional
C. Olivera,Cristián Gonzalo Olivera Ibarra,Cristian Olivera,78097898,Esporte Clube Bahia SAF,95,https://sortitoutsi.b-cdn.net/uploads/face/face_78097898.png,Grêmio FB Porto Alegrense|Grêmio
C. Ordoñez,Christian Nahuel Ordoñez,Christian Ordoñez,2000141874,Parma Calcio 1913,95,https://sortitoutsi.b-cdn.net/uploads/face/face_2000141874.png,Parma|Club Atlético Vélez Sarsfield
C. Ordóñez,Carlos Alberto Ordóñez Esterilla,Carlos Ordóñez,76062373,Jaguares Fútbol Club S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76062373.png,Jaguares de Córdoba|CA Progreso
C. Orejuela,Carlos Alfredo Orejuela Quiñónez,Carlos Orejuela,86029877,,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86029877.png,Mushuc Runa|Mushuc Runa SC
C. Palacios,Carlos Alonso Enrique Palacios Núñez,Carlos Palacios,75049645,Club Atlético Boca Juniors,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75049645.png,Everton|Boca Juniors|Club Atlético Boca Juniors
C. Paz,Cristian Ignacio Paz,Cristian Paz,14122018,Club Deportivo Riestra,95,https://sortitoutsi.b-cdn.net/uploads/face/face_14122018.png,CD Riestra|Deportivo Riestra
C. Penilla,Cristian Anderson Penilla Caicedo,Cristian Penilla,86012205,Club Alianza Atlético Sullana,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86012205.png,Mushuc Runa SC|Alianza Atlético
C. Pinares,César Ignacio Pinares Tamayo,César Pinares,75008316,Club de Deportes Limache,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75008316.png,Deportes Limache|Club Deportes Limache
C. Pérez,César Ignácio Pérez Maldonado,César Pérez,75055408,Club Social y Deportivo Defensa y Justicia,95,https://sortitoutsi.b-cdn.net/uploads/face/face_75055408.png,Club Social y Deportivo Defensa y Justicia|Defensa y Justicia
C. Ramírez,Carlos Andrés Ramírez Aguirre,Carlos Ramírez,76002903,Cortulua Fútbol Club S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76002903.png,Real Cartagena|Envigado FC
C. Rodríguez,C. Rodríguez,Cristopher Rodríguez,86062191,Estudiantes de Mérida F.C.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_86062191.png,Deportes Iquique
C. Rolón,Carlos Adalberto Rolón Ibarra,Carlos Rolón,79013847,,95,https://sortitoutsi.b-cdn.net/uploads/face/face_79013847.png,SD Aucas
C. Romaña,Carlos Alberto Romaña Mena,Carlos Romaña,76054131,Club Atlético Bucaramanga S.A.,95,https://sortitoutsi.b-cdn.net/uploads/face/face_76054131.png,Atlético Bucaramanga|CA Bucaramanga
