wyscout_name,fm_name,fm_id,fm_nation,match_score,logo_url
Fortuna Sittard,Fortuna Sittard,1014,The Netherlands,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1014.png
Gamba Osaka,Gamba Osaka,1186,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1186.png
Gençlerbirliği,Gençlerbirliği,1873,Türkiye,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1873.png
Getafe,Getafe,2000316003,Spain,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000316003.png
Górnik Zabrze,Górnik Zabrze,1452,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1452.png
Górnik Łęczna,Górnik Łęczna,129565,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_129565.png
Hai Phong,Hai Phong,5627098,Vietnam,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5627098.png
Hamburger SV,Hamburger SV,947,Germany,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_947.png
Hapoel Haifa,Hapoel Haifa,1087,Israel,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1087.png
Hertha BSC,Hertha BSC,2247,Germany,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2247.png
Hoang Anh Gia Lai,Hoang Anh Gia Lai,5627026,Vietnam,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5627026.png
Huachipato,Huachipato,104362,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_104362.png
Huracán FC,Huracan FC,2000050867,The United States of America,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000050867.png
Inter Club d'Escaldes,Inter Club d'Escaldes,107681,Andorra,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107681.png
Ironi Modi'in,Ironi Modi'in,42021605,Israel,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_42021605.png
Júbilo Iwata,Jubilo Iwata,1188,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1188.png
Kashima Antlers,Kashima Antlers,1189,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1189.png
Kawasaki Frontale,Kawasaki Frontale,107296,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107296.png
Khorfakkan,Khorfakkan,54200130,The United Arab Emirates,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_54200130.png
Kolos Kovalivka,Kolos Kovalivka,71063212,Ukraine,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_71063212.png
Krumovgrad,Krumovgrad,22087833,Bulgaria,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_22087833.png
Lamphun Warrior,Lamphun Warrior,23134767,Thailand,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23134767.png
Leganés,Leganés,2000335374,Spain,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000335374.png
Liaoning Tieren,Liaoning Tieren,2000337864,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000337864.png
Lion City Sailors FC,Lion City Sailors FC,23501219,Singapore,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23501219.png
Liverpool,Liverpool,676,England,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_676.png
Lommel SK,Lommel SK,8157175,Belgium,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_8157175.png
Maccabi Haifa,Maccabi Haifa,1093,Israel,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1093.png
Maccabi Netanya,Maccabi Netanya,1095,Israel,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1095.png
